559fd9340b025bc43e9eb13b4bb8b5bd0383fe2ddf49d39efe45830ef104436b,SHA256,2023-03-17 23:17:15,2023-03-17 23:17:15,559fd9340b025bc43e9eb13b4bb8b5bd0383fe2ddf49d39efe45830ef104436b,rhisac: vetted
a63c9a0a2be4ba59630153f72ae682db32c0a09af1870e629f9f6969aee0410d,SHA256,2023-03-17 23:17:15,2023-03-17 23:17:15,a63c9a0a2be4ba59630153f72ae682db32c0a09af1870e629f9f6969aee0410d,rhisac: vetted
/oauth2/v1/token?,URL,2023-03-17 23:17:15,2023-03-18 23:17:15,/oauth2/v1/token?,rhisac: vetted
/idp/idx/challenge/answer?,URL,2023-03-17 23:17:15,2023-03-18 23:17:15,/idp/idx/challenge/answer?,rhisac: vetted
64.84.83.32,IP4,2023-03-17 23:17:15,2023-03-19 23:17:15,64.84.83.32,rhisac: vetted
45.119.130.40,IP4,2023-03-17 23:17:15,2023-03-19 23:17:15,45.119.130.40,rhisac: vetted
prashant@poshmark.com,EMAIL_ADDRESS,2023-03-17 23:17:15,2023-03-20 23:17:15,prashant@poshmark.com,rhisac: vetted
system@okta.com,EMAIL_ADDRESS,2023-03-17 23:17:15,2023-03-20 23:17:15,system@okta.com,rhisac: vetted
poshmark.com,DOMAIN,2023-03-17 23:17:15,2023-03-21 23:17:15,poshmark.com,rhisac: vetted
comcast.com,DOMAIN,2023-03-17 23:17:15,2023-03-21 23:17:15,comcast.com,rhisac: vetted
